Date,Description,Debit,Credit,Balance
01/01/2024,SALARY CREDIT/ACME TECH PVT LTD,,85000,205000
02/01/2024,UPI/RENT/JAN/RAHUL SHARMA,20000,,185000
03/01/2024,NEFT/LIC PREMIUM/POLICY123456,15000,,170000
04/01/2024,SBI MUTUAL FUND ELSS SIP/JAN,5000,,165000
05/01/2024,PPF DEPOSIT/ONLINE,10000,,155000
06/01/2024,UPI/SWIGGY ORDER/BLR,500,,154500
07/01/2024,CARD/AMAZON PAY/ORDER 113-001,3000,,151500
08/01/2024,UPI/ELECTRICITY BILL/BESCOM,1650,,149850
09/01/2024,UPI/GROCERIES/DMART,2150,,147700
10/01/2024,ATM CASH WITHDRAWAL,2000,,145700
11/01/2024,UPI/ZOMATO/ORDER,420,,145280
12/01/2024,CARD/FUEL/HPCL,1800,,143480
13/01/2024,UPI/MOBILE RECHARGE,399,,143081
14/01/2024,UPI/UBER/TRIP,280,,142801
15/01/2024,UPI/PHARMACY/MEDPLUS,540,,142261
16/01/2024,UPI/SWIGGY ORDER/BLR,500,,141761
17/01/2024,CARD/AMAZON PAY/ORDER 113-002,3000,,138761
18/01/2024,UPI/WATER BILL/BWSSB,620,,138141
19/01/2024,UPI/RESTAURANT/CAFE,750,,137391
20/01/2024,UPI/GYM MEMBERSHIP,1200,,136191
21/01/2024,UPI/BOOKSTORE,450,,135741
22/01/2024,UPI/SWIGGY ORDER/BLR,500,,135241
23/01/2024,CARD/AMAZON PAY/ORDER 113-003,3000,,132241
24/01/2024,UPI/GROCERIES/DMART,1950,,130291
25/01/2024,UPI/NETFLIX SUBSCRIPTION,649,,129642
26/01/2024,UPI/PHONEPE TRANSFER,1200,,128442
27/01/2024,UPI/ZOMATO/ORDER,380,,128062
28/01/2024,CARD/FLIPKART/ORDER,2200,,125862
29/01/2024,UPI/SWIGGY ORDER/BLR,500,,125362
30/01/2024,UPI/MEDICAL CLINIC/CONSULT,900,,124462
01/02/2024,INTEREST CREDIT/SAVINGS,,420,124882
01/02/2024,SALARY CREDIT/ACME TECH PVT LTD,,85000,209882
02/02/2024,UPI/RENT/FEB/RAHUL SHARMA,20000,,189882
03/02/2024,MAX BUPA HEALTH INSURANCE/POL 778899,18000,,171882
04/02/2024,SBI MUTUAL FUND ELSS SIP/FEB,5000,,166882
05/02/2024,UPI/SWIGGY ORDER/BLR,500,,166382
06/02/2024,CARD/AMAZON PAY/ORDER 114-001,3000,,163382
07/02/2024,UPI/ELECTRICITY BILL/BESCOM,1580,,161802
08/02/2024,UPI/GROCERIES/DMART,2400,,159402
09/02/2024,ATM CASH WITHDRAWAL,2000,,157402
10/02/2024,UPI/ZOMATO/ORDER,410,,156992
11/02/2024,CARD/MYNTRA/ORDER,1900,,155092
12/02/2024,UPI/MOBILE RECHARGE,399,,154693
13/02/2024,UPI/UBER/TRIP,260,,154433
14/02/2024,UPI/PHARMACY/APOLLO,620,,153813
15/02/2024,UPI/SWIGGY ORDER/BLR,500,,153313
16/02/2024,CARD/AMAZON PAY/ORDER 114-002,3000,,150313
17/02/2024,UPI/WATER BILL/BWSSB,610,,149703
18/02/2024,UPI/RESTAURANT/CAFE,820,,148883
19/02/2024,UPI/GYM MEMBERSHIP,1200,,147683
20/02/2024,UPI/BOOKSTORE,520,,147163
21/02/2024,UPI/SWIGGY ORDER/BLR,500,,146663
22/02/2024,CARD/AMAZON PAY/ORDER 114-003,3000,,143663
23/02/2024,UPI/GROCERIES/DMART,2100,,141563
24/02/2024,UPI/PHONEPE TRANSFER,1300,,140263
25/02/2024,UPI/ZOMATO/ORDER,360,,139903
26/02/2024,CARD/FLIPKART/ORDER,2300,,137603
27/02/2024,UPI/MEDICAL CLINIC/CONSULT,950,,136653
28/02/2024,UPI/SWIGGY ORDER/BLR,500,,136153
01/03/2024,INTEREST CREDIT/SAVINGS,,430,136583
01/03/2024,SALARY CREDIT/ACME TECH PVT LTD,,85000,221583
02/03/2024,UPI/RENT/MAR/RAHUL SHARMA,20000,,201583
03/03/2024,SBI MUTUAL FUND ELSS SIP/MAR,5000,,196583
04/03/2024,UPI/SWIGGY ORDER/BLR,500,,196083
05/03/2024,CARD/AMAZON PAY/ORDER 115-001,3000,,193083
06/03/2024,UPI/ELECTRICITY BILL/BESCOM,1620,,191463
07/03/2024,UPI/GROCERIES/DMART,2600,,188863
08/03/2024,ATM CASH WITHDRAWAL,2500,,186363
09/03/2024,UPI/ZOMATO/ORDER,430,,185933
10/03/2024,CARD/MYNTRA/ORDER,2100,,183833
11/03/2024,UPI/MOBILE RECHARGE,399,,183434
12/03/2024,UPI/UBER/TRIP,300,,183134
13/03/2024,UPI/PHARMACY/MEDPLUS,540,,182594
14/03/2024,UPI/SWIGGY ORDER/BLR,500,,182094
15/03/2024,CARD/AMAZON PAY/ORDER 115-002,3000,,179094
16/03/2024,UPI/WATER BILL/BWSSB,600,,178494
17/03/2024,UPI/RESTAURANT/CAFE,900,,177594
18/03/2024,UPI/GYM MEMBERSHIP,1200,,176394
19/03/2024,UPI/BOOKSTORE,480,,175914
20/03/2024,UPI/SWIGGY ORDER/BLR,500,,175414
21/03/2024,CARD/AMAZON PAY/ORDER 115-003,3000,,172414
22/03/2024,UPI/GROCERIES/DMART,2350,,170064
23/03/2024,UPI/PHONEPE TRANSFER,1400,,168664
24/03/2024,UPI/ZOMATO/ORDER,410,,168254
25/03/2024,CARD/FLIPKART/ORDER,2400,,165854
26/03/2024,UPI/MEDICAL CLINIC/CONSULT,980,,164874
27/03/2024,UPI/SWIGGY ORDER/BLR,500,,164374
28/03/2024,CARD/AMAZON PAY/ORDER 115-004,3000,,161374
29/03/2024,UPI/GROCERIES/DMART,1850,,159524
30/03/2024,UPI/UPI TRANSFER/FRIEND,1200,,158324